,#OTU_ID,chemo.6091710,chemo.6091703,chemo.6091732,chemo.p020.s006,chemo.6091723,chemo.p015.s004,chemo.6091718,chemo.p016.s013,chemo.p001.s999,chemo.6091708
0,NZ_MEHA01000001.1_Eisenbergiella_tayi_strain_NML150140-1_BEI59_contig000001-_whole_genome_shotgun_sequence,12221,8193,1257,27,1900,1522,1375,4056,215,2740
1,NZ_GL622449.1_Lachnospiraceae_bacterium_8_1_57FAA_supercont1.1-_whole_genome_shotgun_sequence,17904,204523,93976,225,23499,41759,2953,2288,2114,24013
2,NZ_CZBB01000001.1_Fusicatenibacter_saccharivorans_strain_2789STDY5834923-_whole_genome_shotgun_sequence,121528,14811,10912,743,13109,72424,6378,2432,250,349042
3,NZ_CP012588.1_Streptococcus_thermophilus_strain_MN-BM-A01-_complete_genome,53,4114,8842,174116,1752,69,29,168,181,24
4,NC_006449.1_Streptococcus_thermophilus_CNRZ1066-_complete_genome,91,12926,25244,1608624,23321,358,397,2705,823,390
5,NC_006448.1_Streptococcus_thermophilus_LMG_18311-_complete_genome,26,1699,4709,223363,1053,23,9,156,159,26
6,NC_004668.1_Enterococcus_faecalis_V583_chromosome-_complete_genome,3,7148,2,130,4,11,0,9,2,3
7,NC_004307.2_Bifidobacterium_longum_NCC2705_chromosome-_complete_genome,1,7,1040,3,21,397,28,5,0,80
8,NC_003228.3_Bacteroides_fragilis_NCTC_9343-_complete_genome,233,3,0,0,27,113,487,308,378,8
9,NC_002695.1_Escherichia_coli_O157-H7_str._Sakai-_complete_genome,0,0,0,0,0,1,0,0,138,71
10,NC_000913.3_Escherichia_coli_str._K-12_substr._MG1655-_complete_genome,2,0,5,2,0,3,0,0,73,174
11,NC_002662.1_Lactococcus_lactis_subsp._lactis_Il1403_chromosome-_complete_genome,5,0,18,1,0,23,0,0,7,0
12,NC_002976.3_Staphylococcus_epidermidis_RP62A-_complete_genome,0,0,0,1,0,0,0,0,13,0
13,NC_004337.2_Shigella_flexneri_2a_str._301_chromosome-_complete_genome,0,0,5,0,0,2,0,0,96,8
14,NC_004663.1_Bacteroides_thetaiotaomicron_VPI-5482_chromosome-_complete_genome,70,10,1,0,8,53,1156,0,567,3
17,NC_006347.1_Bacteroides_fragilis_YCH46_DNA-_complete_genome,3223,263,39,9,273,3138,1952,1490,11312,92
19,NC_012781.1_{Eubacterium}_rectale_ATCC_33656-_complete_genome,346543,928641,63262,1395,78432,238862,3957,444766,571,180507
20,NC_012778.1_{Eubacterium}_eligens_ATCC_27750-_complete_genome,33383,77,224,11,1169,9504,4296,57,0,809
21,NC_009515.1_Methanobrevibacter_smithii_ATCC_35061-_complete_genome,0,4,3,270,5,107,0,4,18,508
22,NC_006814.3_Lactobacillus_acidophilus_NCFM_chromosome-_complete_genome,0,0,0,92087,2,0,0,0,0,9
23,NC_008618.1_Bifidobacterium_adolescentis_ATCC_15703_DNA-_complete_genome,0,0,0,16,0,4,17,0,0,286
24,NC_008532.1_Streptococcus_thermophilus_LMD-9-_complete_genome,3,129,1090,5241,82,8,1,37,12,2
25,NC_007929.1_Lactobacillus_salivarius_UCC118_chromosome-_complete_genome,4,1,0,1,0,0,0,1,0,2
26,NC_007606.1_Shigella_dysenteriae_Sd197_chromosome-_complete_genome,0,0,12,1,0,7,0,0,779,120
27,NC_008526.1_Lactobacillus_paracasei_ATCC_334_chromosome-_complete_genome,519,3,16,857,17,2,5,27,1,0
